date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:05	754/754	---M--	200	added ('OK')	application/javascript	etag:%220d812ac9cf3fae4333a225d8333612e6%22	https://elcioportfolio.vercel.app/_next/static/chunks/b563f954-2ccf5d631a1a525d.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/b563f954-2ccf5d631a1a525d.js	(from https://elcioportfolio.vercel.app/)
12:44:05	845/845	---M--	200	added ('OK')	application/javascript	etag:%22d9bdaaf92aec667b607323e6cded0c44%22	https://elcioportfolio.vercel.app/_next/static/chunks/53c13509-102dc6addcc0ff3c.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/53c13509-102dc6addcc0ff3c.js	(from https://elcioportfolio.vercel.app/)
12:44:05	337/337	---M--	200	added ('OK')	application/javascript	etag:%22d1dba4506cfec25256a3260988bdbf94%22	https://elcioportfolio.vercel.app/_next/static/chunks/3d47b92a-7a5db5a21104a612.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/3d47b92a-7a5db5a21104a612.js	(from https://elcioportfolio.vercel.app/)
12:44:06	2297/2297	---MCZ	200	added ('OK')	application/javascript	etag:W/%22daabf4abcff77e754406f5352d7eee05%22	https://elcioportfolio.vercel.app/_next/static/chunks/479ba886-acefc7ff4f9d7609.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/479ba886-acefc7ff4f9d7609.js	(from https://elcioportfolio.vercel.app/)
12:44:06	23092/23092	---MCZ	200	added ('OK')	application/javascript	etag:W/%22291d026060b36b12582ad8f6530370f6%22	https://elcioportfolio.vercel.app/_next/static/chunks/853-ddcf6c37022b1031.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/853-ddcf6c37022b1031.js	(from https://elcioportfolio.vercel.app/)
12:44:06	80085/80085	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214c71e3ae5b3129de099eab84633f697%22	https://elcioportfolio.vercel.app/_next/static/chunks/189-069221bf95386a0c.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/189-069221bf95386a0c.js	(from https://elcioportfolio.vercel.app/)
12:44:07	16116/16116	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268470e0165e0bc452fe17953d6dfe7c8%22	https://elcioportfolio.vercel.app/_next/static/chunks/app/page-88b1423cf7fdbfad.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/app/page-88b1423cf7fdbfad.js	(from https://elcioportfolio.vercel.app/)
12:44:07	14130/14130	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d8ff48ae09fbd132a60b29b0e35e359%22	https://elcioportfolio.vercel.app/_next/static/chunks/508-67937797a9f71b5a.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/508-67937797a9f71b5a.js	(from https://elcioportfolio.vercel.app/)
12:44:07	6218/6218	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259286aa12b0aef5381963c65f7fd1aff%22	https://elcioportfolio.vercel.app/_next/static/chunks/app/layout-ff10f1ed0c729309.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/app/layout-ff10f1ed0c729309.js	(from https://elcioportfolio.vercel.app/)
12:44:07	107774/107774	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22a42fbb06cc87c0d7df5c1576dff921cc%22	https://elcioportfolio.vercel.app/favicon.ico	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/favicon.ico	(from https://elcioportfolio.vercel.app/)
12:44:08	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://elcioportfolio.vercel.app/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://elcioportfolio.vercel.app/)
12:44:08	10705/10705	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Aug%202024%2011:07:51%20GMT	https://elcioportfolio.vercel.app/_next/image?url=%2Fimg%2Flogowhite.png&w=640&q=75	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/logowhite343b.png	(from https://elcioportfolio.vercel.app/)
12:44:09	16930/16930	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Sep%202024%2015:44:08%20GMT	https://elcioportfolio.vercel.app/'/img/whatsapp.gif'	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/'/img/whatsapp.14.delayed	(from https://elcioportfolio.vercel.app/)
12:44:09	16931/16931	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Sep%202024%2015:44:09%20GMT	https://elcioportfolio.vercel.app/'/img/logowhite.png'	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/'/img/logowhite.15.delayed	(from https://elcioportfolio.vercel.app/)
12:44:09	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%2243828e14271c77b87e3ed582dbff9f74%22	https://elcioportfolio.vercel.app/_next/static/media/55c55f0601d81cf3-s.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:09	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22befd9c0fdfa3d8a645d5f95717ed6420%22	https://elcioportfolio.vercel.app/_next/static/media/26a46d62cd723877-s.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/26a46d62cd723877-s.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:10	11220/11220	---M--	200	added ('OK')	font/woff2	etag:%22e360c61c5bd8d90639fd4503c829c2dc%22	https://elcioportfolio.vercel.app/_next/static/media/97e0cb1ae144a2a9-s.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:10	19072/19072	---M--	200	added ('OK')	font/woff2	etag:%22f0b86e7c24f455280b8df606b89af891%22	https://elcioportfolio.vercel.app/_next/static/media/581909926a08bbc8-s.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/581909926a08bbc8-s.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:10	10280/10280	---M--	200	added ('OK')	font/woff2	etag:%22d54db44de5ccb18886ece2fda72bdfe0%22	https://elcioportfolio.vercel.app/_next/static/media/df0a9ae256c0569c-s.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/df0a9ae256c0569c-s.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:10	74316/74316	---M--	200	added ('OK')	font/woff2	etag:%22621a07228c8ccbfd647918f1021b4868%22	https://elcioportfolio.vercel.app/_next/static/media/6d93bde91c0c2823-s.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/6d93bde91c0c2823-s.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:11	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d4fe31e6a2aebc06b8d6e558c9141119%22	https://elcioportfolio.vercel.app/_next/static/media/a34f9d1faa5f3315-s.p.woff2	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:11	238317/238317	---M--	200	added ('OK')	image/jpeg	etag:%22e2d2a51c2932205b52f4a5ae1943eb97%22	https://elcioportfolio.vercel.app/img/banner.jpg	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/img/banner.jpg	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
12:44:11	59486/59486	---M--	200	added ('OK')	image/jpeg	etag:%226d160cf2ef2757347bfdfab6c302a8ba%22	https://elcioportfolio.vercel.app/img/profile.jpg	D:/Meus%20Sites/Vinicius's%20Portfolio/elcioportfolio.vercel.app/img/profile.jpg	(from https://elcioportfolio.vercel.app/_next/static/css/5d379dcae9c6a366.css)
